id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53291327,"Baby ready, 2 beds, recently remodeled in Leblon",370186226,Henrique,,Leblon,-22.98588,-43.22683,Entire home/apt,550,3,7,2022-04-24,1.22,2,329,7,
53343400,lindo quarto Copacabana posto 2,431412286,Carlos Henrique,,Copacabana,-22.96379,-43.17625,Private room,150,3,1,2022-01-09,0.18,10,365,1,
53343445,apartamento lindo em rua sem saída pertinho praia,351164356,Vitor,,Leme,-22.96437,-43.17196,Entire home/apt,316450,1,0,,,1,362,0,
53292231,Quarto LUXO em Hotel 5 estrelas!,194705180,Marcus,,São Conrado,-22.99692,-43.25605,Private room,800,1,0,,,1,69,0,
53292834,Apartamento grande com vista frente mar Copacabana,270247199,Aqui Eu Rio,,Copacabana,-22.9725,-43.18562,Entire home/apt,620,3,16,2022-05-09,2.42,2,39,16,
53135088,Loft encantador em Copacabana,80598591,Debora,,Copacabana,-22.96423,-43.18054,Entire home/apt,160,2,3,2022-06-19,1.53,1,174,3,
53135540,Highest Design and Brandnew Beachfront,30721359,I Live,,Leme,-22.96321,-43.16707,Entire home/apt,1208,5,4,2022-04-16,0.67,29,317,4,
53135616,"Barra Maravilha
condomínio encantador com piscina e praia.",381049718,Denise,,Barra da Tijuca,-23.00523,-43.32234,Private room,190,3,3,2022-06-15,0.80,2,355,3,
53343839,"Omar do Rio - FL 960/602: Duplex with Pool and View at the Peninsula + Fiber Optic Internet 200mbps, Smart TV, Workstation, Garage, Sauna and Gym",6000862,,,Barra da Tijuca,-22.99141,-43.35116,Entire home/apt,695,1,17,2022-06-07,2.48,112,231,17,
53345071,Quarto privativo em Ribeira-RJ com garagem,431920849,Iany,,Ribeira,-22.82631,-43.17042,Entire home/apt,102,2,0,,,1,364,0,
53135798,"Loft simples e aconchegante, com wi-fi, Botafogo",375970413,Maria Goreti,,Botafogo,-22.95437,-43.18267,Entire home/apt,280,1,0,,,1,337,0,
53141278,Apartamento aconchegante na Gávea com garagem,2605839,Lucas,,Gávea,-22.97734,-43.22682,Entire home/apt,520,2,12,2022-05-23,1.65,1,318,12,
53142190,"Estamos Tudo Alugados. Lamento.
Não sei desativar",47500788,Robert,,São Conrado,-22.99337,-43.25397,Private room,150,1,0,,,3,351,0,
53142224,Excelente Apartamento conjugado no Flamengo,22618173,Gilvan & Claudia,,Catete,-22.9267,-43.17764,Entire home/apt,140,15,1,2022-03-31,0.36,2,107,1,
53142252,Apartamento para o Réveillon 2 quadras da praia!,120790859,Beatriz,,Leme,-22.96348,-43.17222,Entire home/apt,400,5,0,,,1,183,0,
53143049,Apartamento no ultimo andar do Tiffany's,357859867,Latin,,Ipanema,-22.98657,-43.19897,Entire home/apt,1350,3,0,,,5,295,0,
53143862,APARTAMENTO BARRA DA TIJUCA PARK OLÍMPICO,47584281,Renato,,Jacarepaguá,-22.97126,-43.39416,Entire home/apt,507,1,5,2022-05-14,0.73,73,351,5,
53144373,Luxury Apartment in Copacabana 50m to the beach,68581671,Know,,Copacabana,-22.970884,-43.185791,Entire home/apt,1000,5,10,2022-05-29,1.46,1,264,10,
53145194,"Kitnet em Copacabana (Posto 5) , pertinho do Mar",349673133,Daise De Almeida Moizinho,,Copacabana,-22.98011,-43.18991,Entire home/apt,166,2,19,2022-06-20,2.68,2,353,19,
53147186,Tabas | Lindo apto de 2qtos - Leblon - RJ | LB0012,341887136,Tabas,,Leblon,-22.98022,-43.22329,Entire home/apt,611,3,4,2022-06-01,1.07,69,271,4,
53292943,Casa de campo com piscina,431452431,Solange,,Guaratiba,-22.9696,-43.54699,Entire home/apt,600,2,0,,,1,362,0,
53293089,Apartamento no coração de Copacabana,15533343,Yuri,,Copacabana,-22.98115,-43.18972,Entire home/apt,170,2,20,2022-05-27,2.91,14,355,20,
53293674,Quarto agradável em Santa Teresa,324880566,Laryssa,,Santa Teresa,-22.92216,-43.19126,Private room,105,1,1,2022-04-26,0.53,1,365,1,
53295330,Duplex penthouse with breathtaking view,392083762,Oka,,Copacabana,-22.98399,-43.19189,Entire home/apt,443,3,1,2022-01-01,0.17,27,225,1,
53295994,Secure apartment in the best point of Ipanema,319672,Valeria,,Ipanema,-22.98453,-43.21279,Entire home/apt,361,3,24,2022-05-28,3.62,5,229,24,
53296834,Centro de Ipanema praia posto 9.,2312911,Elena,,Ipanema,-22.984232,-43.200954,Entire home/apt,640,1,32,2022-06-13,4.51,6,134,32,
53297275,"Copacabana Beach, aluguel de quarto.",424401834,Pablo,,Copacabana,-22.96691,-43.1774,Private room,130,2,9,2022-03-07,1.23,1,177,9,
53352919,Casa das Tartarugas,1537641,Gilles,,Barra de Guaratiba,-23.06492,-43.5673,Entire home/apt,8000,1,0,,,10,365,0,
